Time(s),Set Current,Actual Current,Velocity of Vehicle (mph),Speed,Packets Recieved,Packet Errors
3.281720,0.001000,0.001000,0.000000,0.000000,178.000000,0.000000.
3.291758,0.001000,0.001000,0.000000,0.000000,179.000000,0.000000.
3.312418,0.001000,0.001000,0.000000,0.000000,180.000000,0.000000.
3.341124,0.001000,0.001000,0.000000,0.000000,181.000000,0.000000.
3.366597,0.001000,0.001000,0.000000,0.000000,182.000000,0.000000.
3.390996,0.001000,0.001000,0.000000,0.000000,183.000000,0.000000.
3.421521,0.001000,0.001000,0.000000,0.000000,184.000000,0.000000.
3.453002,0.001000,0.001000,0.000000,0.000000,185.000000,0.000000.
3.463175,0.001000,0.001000,0.000000,0.000000,186.000000,0.000000.
3.487637,0.001000,0.001000,0.000000,0.000000,187.000000,0.000000.
3.510294,0.001000,0.001000,0.000000,0.000000,188.000000,0.000000.
3.539244,0.001000,0.001000,0.000000,0.000000,189.000000,0.000000.
3.567534,0.001000,0.001000,0.000000,0.000000,190.000000,0.000000.
3.594105,0.001000,0.001000,0.000000,0.000000,191.000000,0.000000.
3.606191,0.001000,0.001000,0.000000,0.000000,192.000000,0.000000.
3.627974,0.001000,0.001000,0.000000,0.000000,193.000000,0.000000.
3.652546,0.001000,0.001000,0.000000,0.000000,194.000000,0.000000.
3.678430,0.001000,0.001000,0.000000,0.000000,195.000000,0.000000.
3.754412,0.001000,0.001000,0.000000,0.000000,196.000000,0.000000.
3.764702,0.001000,0.001000,0.000000,0.000000,197.000000,0.000000.
3.779816,0.001000,0.001000,0.000000,0.000000,198.000000,0.000000.
3.791185,0.001000,0.001000,0.000000,0.000000,199.000000,0.000000.
3.813096,0.001000,0.001000,0.000000,0.000000,200.000000,0.000000.
3.825450,0.001000,0.001000,0.000000,0.000000,201.000000,0.000000.
3.846047,0.001000,0.001000,0.000000,0.000000,202.000000,0.000000.
3.874958,0.001000,0.001000,0.000000,0.000000,203.000000,0.000000.
3.905345,0.001000,0.001000,0.000000,0.000000,204.000000,0.000000.
3.934178,0.001000,0.001000,0.000000,0.000000,205.000000,0.000000.
3.944223,0.001000,0.001000,0.000000,0.000000,206.000000,0.000000.
3.963936,0.001000,0.001000,0.000000,0.000000,207.000000,0.000000.
3.990536,0.001000,0.001000,0.000000,0.000000,208.000000,0.000000.
4.017839,0.001000,0.001000,0.000000,0.000000,209.000000,0.000000.
4.044806,0.001000,0.001000,0.000000,0.000000,210.000000,0.000000.
4.069999,0.001000,0.001000,0.000000,0.000000,211.000000,0.000000.
4.096844,0.001000,0.001000,0.000000,0.000000,212.000000,0.000000.
4.107488,0.001000,0.001000,0.000000,0.000000,213.000000,0.000000.
4.131074,0.001000,0.001000,0.000000,0.000000,214.000000,0.000000.
4.156736,0.001000,0.001000,0.000000,0.000000,215.000000,0.000000.
4.182217,0.001000,0.001000,0.000000,0.000000,216.000000,0.000000.
4.210951,0.001000,0.001000,0.000000,0.000000,217.000000,0.000000.
4.233862,0.001000,0.001000,0.000000,0.000000,218.000000,0.000000.
4.254019,0.001000,0.001000,0.000000,0.000000,219.000000,0.000000.
4.275588,0.001000,0.001000,0.000000,0.000000,220.000000,0.000000.
4.298982,0.001000,0.001000,0.000000,0.000000,221.000000,0.000000.
4.322998,0.001000,0.001000,0.000000,0.000000,222.000000,0.000000.
4.346555,0.001000,0.001000,0.000000,0.000000,223.000000,0.000000.
4.372926,0.001000,0.001000,0.000000,0.000000,224.000000,0.000000.
4.399191,0.001000,0.001000,0.000000,0.000000,225.000000,0.000000.
4.420622,0.001000,0.001000,0.000000,0.000000,226.000000,0.000000.
4.441749,0.001000,0.001000,0.000000,0.000000,227.000000,0.000000.
4.465250,0.001000,0.001000,0.000000,0.000000,228.000000,0.000000.
4.488736,0.001000,0.001000,0.000000,0.000000,229.000000,0.000000.
4.514248,0.001000,0.001000,0.000000,0.000000,230.000000,0.000000.
4.537829,0.001000,0.001000,0.000000,0.000000,231.000000,0.000000.
4.564186,0.001000,0.001000,0.000000,0.000000,232.000000,0.000000.
4.588505,0.001000,0.001000,0.000000,0.000000,233.000000,0.000000.
4.621596,0.001000,0.001000,0.000000,0.000000,234.000000,0.000000.
4.645544,0.001000,0.001000,0.000000,0.000000,235.000000,0.000000.
4.670260,0.001000,0.001000,0.000000,0.000000,236.000000,0.000000.
4.691619,0.001000,0.001000,0.000000,0.000000,237.000000,0.000000.
4.717135,0.001000,0.001000,0.000000,0.000000,238.000000,0.000000.
4.741205,0.001000,0.001000,0.000000,0.000000,239.000000,0.000000.
4.766514,0.001000,0.001000,0.000000,0.000000,240.000000,0.000000.
4.776565,0.001000,0.001000,0.000000,0.000000,241.000000,0.000000.
4.802336,0.001000,0.001000,0.000000,0.000000,242.000000,0.000000.
4.827023,0.001000,0.001000,0.000000,0.000000,243.000000,0.000000.
4.850277,0.001000,0.001000,0.000000,0.000000,244.000000,0.000000.
4.879589,0.001000,0.001000,0.000000,0.000000,245.000000,0.000000.
4.905047,0.001000,0.001000,0.000000,0.000000,246.000000,0.000000.
4.931158,0.001000,0.001000,0.000000,0.000000,247.000000,0.000000.
4.951408,0.001000,0.001000,0.000000,0.000000,248.000000,0.000000.
4.975812,0.001000,0.001000,0.000000,0.000000,249.000000,0.000000.
5.008577,0.001000,0.001000,0.000000,0.000000,250.000000,0.000000.
5.039038,0.001000,0.001000,0.000000,0.000000,251.000000,0.000000.
5.050502,0.001000,0.001000,0.000000,0.000000,252.000000,0.000000.
5.073415,0.001000,0.001000,0.000000,0.000000,253.000000,0.000000.
5.101168,0.001000,0.001000,0.000000,0.000000,254.000000,0.000000.
5.124585,0.001000,0.001000,0.000000,0.000000,255.000000,0.000000.
5.149049,0.001000,0.001000,0.000000,0.000000,256.000000,0.000000.
5.172283,0.001000,0.001000,0.000000,0.000000,257.000000,0.000000.
5.193042,0.001000,0.001000,0.000000,0.000000,258.000000,0.000000.
5.221141,0.001000,0.001000,0.000000,0.000000,259.000000,0.000000.
5.241304,0.001000,0.001000,0.000000,0.000000,260.000000,0.000000.
5.266871,0.001000,0.001000,0.000000,0.000000,261.000000,0.000000.
5.288933,0.001000,0.001000,0.000000,0.000000,262.000000,0.000000.
5.316527,0.001000,0.001000,0.000000,0.000000,263.000000,0.000000.
5.337898,0.001000,0.001000,0.000000,0.000000,264.000000,0.000000.
5.363748,0.001000,0.001000,0.000000,0.000000,265.000000,0.000000.
5.390402,0.001000,0.001000,0.000000,0.000000,266.000000,0.000000.
5.402138,0.001000,0.001000,0.000000,0.000000,267.000000,0.000000.
5.432594,0.001000,0.001000,0.000000,0.000000,268.000000,0.000000.
5.450549,0.001000,0.001000,0.000000,0.000000,269.000000,0.000000.
5.474311,0.001000,0.001000,0.000000,0.000000,270.000000,0.000000.
5.503278,0.001000,0.001000,0.000000,0.000000,271.000000,0.000000.
5.528121,0.001000,0.001000,0.000000,0.000000,272.000000,0.000000.
5.549535,0.001000,0.001000,0.000000,0.000000,273.000000,0.000000.
5.575428,0.001000,0.001000,0.000000,0.000000,274.000000,0.000000.
5.601202,0.001000,0.001000,0.000000,0.000000,275.000000,0.000000.
5.625588,0.001000,0.001000,0.000000,0.000000,276.000000,0.000000.
5.652045,0.001000,0.001000,0.000000,0.000000,277.000000,0.000000.
5.680999,0.001000,0.001000,0.000000,0.000000,278.000000,0.000000.
5.691509,0.001000,0.001000,0.000000,0.000000,279.000000,0.000000.
5.714242,0.001000,0.001000,0.000000,0.000000,280.000000,0.000000.
5.738662,0.001000,0.001000,0.000000,0.000000,281.000000,0.000000.
5.768746,0.001000,0.001000,0.000000,0.000000,282.000000,0.000000.
5.797014,0.001000,0.001000,0.000000,0.000000,283.000000,0.000000.
5.821652,0.001000,0.001000,0.000000,0.000000,284.000000,0.000000.
5.841540,0.001000,0.001000,0.000000,0.000000,285.000000,0.000000.
5.867850,0.001000,0.001000,0.000000,0.000000,286.000000,0.000000.
5.897583,0.001000,0.001000,0.000000,0.000000,287.000000,0.000000.
5.908261,0.001000,0.001000,0.000000,0.000000,288.000000,0.000000.
5.931410,0.001000,0.001000,0.000000,0.000000,289.000000,0.000000.
5.958647,0.001000,0.001000,0.000000,0.000000,290.000000,0.000000.
5.984032,0.001000,0.001000,0.000000,0.000000,291.000000,0.000000.
6.002893,0.001000,0.001000,0.000000,0.000000,292.000000,0.000000.
6.029504,0.001000,0.001000,0.000000,0.000000,293.000000,0.000000.
6.048830,0.001000,0.001000,0.000000,0.000000,294.000000,0.000000.
6.072474,0.001000,0.001000,0.000000,0.000000,295.000000,0.000000.
6.098241,0.001000,0.001000,0.000000,0.000000,296.000000,0.000000.
6.123043,0.001000,0.001000,0.000000,0.000000,297.000000,0.000000.
6.151211,0.001000,0.001000,0.000000,0.000000,298.000000,0.000000.
6.175990,0.001000,0.001000,0.000000,0.000000,299.000000,0.000000.
6.202457,0.001000,0.001000,0.000000,0.000000,300.000000,0.000000.
6.222950,0.001000,0.001000,0.000000,0.000000,301.000000,0.000000.
6.242297,0.001000,0.001000,0.000000,0.000000,302.000000,0.000000.
6.268141,0.001000,0.001000,0.000000,0.000000,303.000000,0.000000.
6.292085,0.001000,0.001000,0.000000,0.000000,304.000000,0.000000.
6.318258,0.001000,0.001000,0.000000,0.000000,305.000000,0.000000.
6.344206,0.001000,0.001000,0.000000,0.000000,306.000000,0.000000.
6.369035,0.001000,0.001000,0.000000,0.000000,307.000000,0.000000.
6.394086,0.001000,0.001000,0.000000,0.000000,308.000000,0.000000.
6.417720,0.001000,0.001000,0.000000,0.000000,309.000000,0.000000.
6.450207,0.001000,0.001000,0.000000,0.000000,310.000000,0.000000.
6.460858,0.001000,0.001000,0.000000,0.000000,311.000000,0.000000.
6.480464,0.001000,0.001000,0.000000,0.000000,312.000000,0.000000.
6.506842,0.001000,0.001000,0.000000,0.000000,313.000000,0.000000.
6.541190,0.001000,0.001000,0.000000,0.000000,314.000000,0.000000.
6.556419,0.001000,0.001000,0.000000,0.000000,315.000000,0.000000.
6.583084,0.001000,0.001000,0.000000,0.000000,316.000000,0.000000.
6.607008,0.001000,0.001000,0.000000,0.000000,317.000000,0.000000.
6.636422,0.001000,0.001000,0.000000,0.000000,318.000000,0.000000.
6.648773,0.001000,0.001000,0.000000,0.000000,319.000000,0.000000.
6.676100,0.001000,0.001000,0.000000,0.000000,320.000000,0.000000.
6.699100,0.001000,0.001000,0.000000,0.000000,321.000000,0.000000.
6.725290,0.001000,0.001000,0.000000,0.000000,322.000000,0.000000.
6.752300,0.001000,0.001000,0.000000,0.000000,323.000000,0.000000.
6.779128,0.001000,0.001000,0.000000,0.000000,324.000000,0.000000.
6.806041,0.001000,0.001000,0.000000,0.000000,325.000000,0.000000.
6.833041,0.001000,0.001000,0.000000,0.000000,326.000000,0.000000.
6.844112,0.001000,0.001000,0.000000,0.000000,327.000000,0.000000.
