Time(s),Set Current,Actual Current,Velocity of Vehicle (mph),Speed,Packets Recieved,Packet Errors
5.992704,0.001000,0.001000,0.000000,0.000000,291.000000,0.000000.
6.017162,0.601000,0.601000,0.000000,0.000000,292.000000,0.000000.
6.043060,1.201000,1.201000,0.003779,0.000000,293.000000,0.000000.
6.068321,1.801000,1.801000,0.013530,0.000000,294.000000,0.000000.
6.093901,2.401000,2.401000,0.029823,0.000000,295.000000,0.000000.
6.115370,3.001000,3.001000,0.051475,0.000000,296.000000,0.000000.
6.140664,3.601000,3.601000,0.076165,0.000000,297.000000,0.000000.
6.167460,4.201000,4.201000,0.109932,0.000000,298.000000,0.000000.
6.191628,4.801000,4.801000,0.153230,0.000000,299.000000,0.000000.
6.213318,0.001000,0.001000,0.145623,0.000000,300.000000,0.000000.
6.237641,0.001000,0.001000,0.138348,0.000000,301.000000,0.000000.
6.261914,0.001000,0.001000,0.130370,0.000000,302.000000,0.000000.
6.284971,0.001000,0.001000,0.122392,0.000000,303.000000,0.000000.
6.307738,0.001000,0.001000,0.114386,0.000000,304.000000,0.000000.
6.331149,0.001000,0.001000,0.107011,0.000000,305.000000,0.000000.
6.355646,0.001000,0.001000,0.099549,0.000000,306.000000,0.000000.
6.379843,0.001000,0.001000,0.091664,0.000000,307.000000,0.000000.
6.405066,0.001000,0.001000,0.083675,0.000000,308.000000,0.000000.
6.428902,0.001000,0.001000,0.075367,0.000000,309.000000,0.000000.
6.452801,0.001000,0.001000,0.067514,0.000000,310.000000,0.000000.
6.476707,0.001000,0.001000,0.059600,0.000000,311.000000,0.000000.
6.501237,0.001000,0.001000,0.051874,0.000000,312.000000,0.000000.
6.526050,0.001000,0.001000,0.043400,0.000000,313.000000,0.000000.
6.550786,0.001000,0.001000,0.035575,0.000000,314.000000,0.000000.
6.574833,0.001000,0.001000,0.027222,0.000000,315.000000,0.000000.
6.594638,0.001000,0.001000,0.019599,0.000000,316.000000,0.000000.
6.620674,0.001000,0.001000,0.013089,0.000000,317.000000,0.000000.
6.644190,0.001000,0.001000,0.004541,0.000000,318.000000,0.000000.
6.669112,0.001000,0.001000,0.000000,0.000000,319.000000,0.000000.
6.690327,0.001000,0.001000,0.000000,0.000000,320.000000,0.000000.
6.716774,0.001000,0.001000,0.000000,0.000000,321.000000,0.000000.
6.741079,0.001000,0.001000,0.000000,0.000000,322.000000,0.000000.
6.761996,0.001000,0.001000,0.000000,0.000000,323.000000,0.000000.
6.784903,0.001000,0.001000,0.000000,0.000000,324.000000,0.000000.
6.817629,0.001000,0.001000,0.000000,0.000000,325.000000,0.000000.
6.839916,0.001000,0.001000,0.000000,0.000000,326.000000,0.000000.
6.860187,0.001000,0.001000,0.000000,0.000000,327.000000,0.000000.
6.883538,0.001000,0.001000,0.000000,0.000000,328.000000,0.000000.
6.906438,0.001000,0.001000,0.000000,0.000000,329.000000,0.000000.
6.927632,0.001000,0.001000,0.000000,0.000000,330.000000,0.000000.
6.952915,0.001000,0.001000,0.000000,0.000000,331.000000,0.000000.
6.974824,0.001000,0.001000,0.000000,0.000000,332.000000,0.000000.
7.000523,0.001000,0.001000,0.000000,0.000000,333.000000,0.000000.
7.028109,0.001000,0.001000,0.000000,0.000000,334.000000,0.000000.
7.049701,0.001000,0.001000,0.000000,0.000000,335.000000,0.000000.
7.072963,0.001000,0.001000,0.000000,0.000000,336.000000,0.000000.
7.098526,0.001000,0.001000,0.000000,0.000000,337.000000,0.000000.
7.120833,0.001000,0.001000,0.000000,0.000000,338.000000,0.000000.
7.146038,0.001000,0.001000,0.000000,0.000000,339.000000,0.000000.
7.170003,0.001000,0.001000,0.000000,0.000000,340.000000,0.000000.
7.194149,0.001000,0.001000,0.000000,0.000000,341.000000,0.000000.
7.217641,0.001000,0.001000,0.000000,0.000000,342.000000,0.000000.
7.242599,0.001000,0.001000,0.000000,0.000000,343.000000,0.000000.
7.264849,0.001000,0.001000,0.000000,0.000000,344.000000,0.000000.
7.290505,0.001000,0.001000,0.000000,0.000000,345.000000,0.000000.
7.311528,0.001000,0.001000,0.000000,0.000000,346.000000,0.000000.
7.335705,0.001000,0.001000,0.000000,0.000000,347.000000,0.000000.
7.363300,0.001000,0.001000,0.000000,0.000000,348.000000,0.000000.
7.388639,0.001000,0.001000,0.000000,0.000000,349.000000,0.000000.
7.411630,0.001000,0.001000,0.000000,0.000000,350.000000,0.000000.
7.436025,0.001000,0.001000,0.000000,0.000000,351.000000,0.000000.
7.457653,0.001000,0.001000,0.000000,0.000000,352.000000,0.000000.
7.483376,0.001000,0.001000,0.000000,0.000000,353.000000,0.000000.
7.509302,0.001000,0.001000,0.000000,0.000000,354.000000,0.000000.
7.533871,0.001000,0.001000,0.000000,0.000000,355.000000,0.000000.
7.555425,0.001000,0.001000,0.000000,0.000000,356.000000,0.000000.
7.576623,0.001000,0.001000,0.000000,0.000000,357.000000,0.000000.
7.605303,0.001000,0.001000,0.000000,0.000000,358.000000,0.000000.
7.630381,0.001000,0.001000,0.000000,0.000000,359.000000,0.000000.
7.655125,0.001000,0.001000,0.000000,0.000000,360.000000,0.000000.
7.674256,0.001000,0.001000,0.000000,0.000000,361.000000,0.000000.
7.701710,0.001000,0.001000,0.000000,0.000000,362.000000,0.000000.
7.726425,0.001000,0.001000,0.000000,0.000000,363.000000,0.000000.
7.752982,0.001000,0.001000,0.000000,0.000000,364.000000,0.000000.
7.780122,0.001000,0.001000,0.000000,0.000000,365.000000,0.000000.
7.791887,0.001000,0.001000,0.000000,0.000000,366.000000,0.000000.
7.851618,0.001000,0.001000,0.000000,0.000000,367.000000,0.000000.
7.866706,0.001000,0.001000,0.000000,0.000000,368.000000,0.000000.
7.877459,0.001000,0.001000,0.000000,0.000000,369.000000,0.000000.
7.893000,0.001000,0.001000,0.000000,0.000000,370.000000,0.000000.
7.921628,0.001000,0.001000,0.000000,0.000000,371.000000,0.000000.
7.944467,0.601000,0.601000,0.000000,0.000000,372.000000,0.000000.
7.968540,1.201000,1.201000,0.003471,0.000000,373.000000,0.000000.
7.992389,1.801000,1.801000,0.012939,0.000000,374.000000,0.000000.
8.017090,2.401000,2.401000,0.027782,0.000000,375.000000,0.000000.
8.040892,3.001000,3.001000,0.049809,0.000000,376.000000,0.000000.
8.062117,3.601000,3.601000,0.075435,0.000000,377.000000,0.000000.
8.087369,4.201000,4.201000,0.104438,0.000000,378.000000,0.000000.
8.112470,4.801000,4.801000,0.144051,0.000000,379.000000,0.000000.
8.137836,5.401000,5.401000,0.189941,0.000000,380.000000,0.000000.
8.163051,6.000999,5.044330,0.233249,0.000000,381.000000,0.000000.
8.184469,6.600999,5.405211,0.279586,0.000000,382.000000,0.000000.
8.209016,7.200999,5.053680,0.316581,0.000000,383.000000,0.000000.
