t,Torque1(t),Torque2(t),Steering_Angle(t)
39.377058,18.07224846,25.00000000,893.000000
39.483641,18.07224846,25.00000000,893.000000
39.588214,18.07224846,25.00000000,893.000000
39.676410,18.07224846,25.00000000,893.000000
39.781423,18.07224846,25.00000000,893.000000
39.885868,17.54524994,25.00000000,961.000000
39.974332,16.10374832,25.00000000,1147.000000
40.080335,15.61549950,25.00000000,1210.000000
40.185291,15.49149895,25.00000000,1226.000000
40.271723,15.49149895,25.00000000,1226.000000
40.380737,15.25899887,25.00000000,1256.000000
40.485320,14.39874935,25.00000000,1367.000000
40.569461,13.69349957,25.00000000,1458.000000
40.670603,13.18974972,25.00000000,1523.000000
40.774686,13.08124924,25.00000000,1537.000000
40.877427,13.32924938,25.00000000,1505.000000
40.980441,14.88699913,25.00000000,1304.000000
41.085683,15.76274967,25.00000000,1191.000000
41.171705,16.06499863,25.00000000,1152.000000
41.277346,16.10374832,25.00000000,1147.000000
41.382098,15.98749924,25.00000000,1162.000000
41.486428,15.92549992,25.00000000,1170.000000
41.588620,15.43724823,25.00000000,1233.000000
41.673041,15.01099873,25.00000000,1288.000000
41.777127,14.91799927,25.00000000,1300.000000
41.884003,14.95674896,25.00000000,1295.000000
41.987311,14.95674896,25.00000000,1295.000000
42.074025,14.95674896,25.00000000,1295.000000
42.181422,14.95674896,25.00000000,1295.000000
42.287428,14.68549919,25.00000000,1330.000000
42.373486,14.65449905,25.00000000,1334.000000
42.477572,14.66224957,25.00000000,1333.000000
42.584169,14.33675003,25.00000000,1375.000000
42.670760,13.57724953,25.00000000,1473.000000
42.783954,13.36799812,25.00000000,1500.000000
42.885975,13.22850037,25.00000000,1518.000000
42.973409,13.25174904,25.00000000,1515.000000
43.076463,13.13549900,25.00000000,1530.000000
43.182652,13.21299934,25.00000000,1520.000000
43.286441,13.29824924,25.00000000,1509.000000
43.368224,13.29824924,25.00000000,1509.000000
43.470682,13.29824924,25.00000000,1509.000000
43.574948,13.32149982,25.00000000,1506.000000
43.679533,12.32949924,25.00000000,1634.000000
43.783840,12.34499931,25.00000000,1632.000000
43.868556,12.33724976,25.00000000,1633.000000
43.975195,11.93424892,25.00000000,1685.000000
44.080109,11.43824863,25.00000000,1749.000000
