INFO:root:2016-12-22 11:50:12.289829: Actual Speed =0.0.
INFO:root:2016-12-22 11:50:12.290682: Integer Speed =14.
INFO:root:2016-12-22 11:50:12.291053: Decimal Speed =983.
INFO:root:2016-12-22 11:50:12.291314: Actual Speed =14.983.
INFO:root:2016-12-22 11:50:12.291900: Integer Speed =0.
INFO:root:2016-12-22 11:50:12.292105: Decimal Speed =0.
INFO:root:2016-12-22 11:50:12.292318: Actual Speed =0.0.
INFO:root:2016-12-22 11:50:12.292867: Integer Speed =0.
INFO:root:2016-12-22 11:50:12.293065: Decimal Speed =0.
INFO:root:2016-12-22 11:50:12.293277: Actual Speed =0.0.
INFO:root:2016-12-22 11:50:12.293821: Integer Speed =0.
INFO:root:2016-12-22 11:50:12.294027: Decimal Speed =0.
INFO:root:2016-12-22 11:50:12.294270: Actual Speed =0.0.
INFO:root:2016-12-22 11:50:12.294880: Integer Speed =0.
INFO:root:2016-12-22 11:50:12.295094: Decimal Speed =0.
INFO:root:2016-12-22 11:50:12.295311: Actual Speed =0.0.
INFO:root:2016-12-22 11:50:12.295965: Integer Speed =14.
INFO:root:2016-12-22 11:50:12.296559: Decimal Speed =983.
INFO:root:2016-12-22 11:50:12.297166: Actual Speed =14.983.
INFO:root:2016-12-22 11:50:12.298019: Integer Speed =0.
INFO:root:2016-12-22 11:50:12.298404: Decimal Speed =0.
INFO:root:2016-12-22 11:50:12.298729: Actual Speed =0.0.
INFO:root:2016-12-22 11:50:12.299421: Integer Speed =0.
INFO:root:2016-12-22 11:50:12.299816: Decimal Speed =0.
INFO:root:2016-12-22 11:50:12.300107: Actual Speed =0.0.
INFO:root:2016-12-22 11:50:12.300762: Integer Speed =0.
INFO:root:2016-12-22 11:50:12.301126: Decimal Speed =0.
INFO:root:2016-12-22 11:50:12.301412: Actual Speed =0.0.
INFO:root:2016-12-22 11:50:12.302087: Integer Speed =15.
INFO:root:2016-12-22 11:50:12.302348: Decimal Speed =22.
INFO:root:2016-12-22 11:50:12.302624: Actual Speed =15.022.
INFO:root:2016-12-22 11:50:12.303243: Integer Speed =0.
INFO:root:2016-12-22 11:50:12.303490: Decimal Speed =0.
INFO:root:2016-12-22 11:50:12.303743: Actual Speed =0.0.
INFO:root:2016-12-22 11:50:12.304418: Integer Speed =0.
INFO:root:2016-12-22 11:50:12.304863: Decimal Speed =0.
INFO:root:2016-12-22 11:50:12.305124: Actual Speed =0.0.
INFO:root:2016-12-22 11:50:12.305716: Integer Speed =0.
INFO:root:2016-12-22 11:50:12.305924: Decimal Speed =0.
INFO:root:2016-12-22 11:50:12.306149: Actual Speed =0.0.
INFO:root:2016-12-22 11:50:12.306884: Integer Speed =0.
INFO:root:2016-12-22 11:50:12.307304: Decimal Speed =0.
INFO:root:2016-12-22 11:50:12.307560: Actual Speed =0.0.
INFO:root:2016-12-22 11:50:12.308156: Integer Speed =14.
INFO:root:2016-12-22 11:50:12.308368: Decimal Speed =983.
INFO:root:2016-12-22 11:50:12.308647: Actual Speed =14.983.
INFO:root:2016-12-22 11:50:12.309419: Integer Speed =0.
INFO:root:2016-12-22 11:50:12.309727: Decimal Speed =0.
INFO:root:2016-12-22 11:50:12.309963: Actual Speed =0.0.
INFO:root:2016-12-22 11:50:12.310536: Integer Speed =0.
INFO:root:2016-12-22 11:50:12.310756: Decimal Speed =0.
INFO:root:2016-12-22 11:50:12.311185: Actual Speed =0.0.
INFO:root:2016-12-22 11:50:12.312078: Integer Speed =0.
INFO:root:2016-12-22 11:50:12.312495: Decimal Speed =0.
INFO:root:2016-12-22 11:50:12.312790: Actual Speed =0.0.
INFO:root:2016-12-22 11:50:12.313463: Integer Speed =0.
INFO:root:2016-12-22 11:50:12.313795: Decimal Speed =0.
INFO:root:2016-12-22 11:50:12.314051: Actual Speed =0.0.
INFO:root:2016-12-22 11:50:12.314672: Integer Speed =14.
INFO:root:2016-12-22 11:50:12.314918: Decimal Speed =983.
INFO:root:2016-12-22 11:50:12.315160: Actual Speed =14.983.
INFO:root:2016-12-22 11:50:12.315772: Integer Speed =0.
INFO:root:2016-12-22 11:50:12.316010: Decimal Speed =0.
INFO:root:2016-12-22 11:50:12.316238: Actual Speed =0.0.
INFO:root:2016-12-22 11:50:12.316844: Integer Speed =0.
INFO:root:2016-12-22 11:50:12.317080: Decimal Speed =0.
INFO:root:2016-12-22 11:50:12.317313: Actual Speed =0.0.
INFO:root:2016-12-22 11:50:12.317921: Integer Speed =0.
INFO:root:2016-12-22 11:50:12.318158: Decimal Speed =0.
INFO:root:2016-12-22 11:50:12.318390: Actual Speed =0.0.
INFO:root:2016-12-22 11:50:12.318995: Integer Speed =0.
INFO:root:2016-12-22 11:50:12.319235: Decimal Speed =0.
INFO:root:2016-12-22 11:50:12.319466: Actual Speed =0.0.
INFO:root:2016-12-22 11:50:12.320072: Integer Speed =0.
INFO:root:2016-12-22 11:50:12.320311: Decimal Speed =0.
INFO:root:2016-12-22 11:50:12.320542: Actual Speed =0.0.
INFO:root:2016-12-22 11:50:12.321146: Integer Speed =15.
INFO:root:2016-12-22 11:50:12.321403: Decimal Speed =22.
INFO:root:2016-12-22 11:50:12.321643: Actual Speed =15.022.
INFO:root:2016-12-22 11:50:12.322249: Integer Speed =0.
INFO:root:2016-12-22 11:50:12.322484: Decimal Speed =0.
INFO:root:2016-12-22 11:50:12.322716: Actual Speed =0.0.
INFO:root:2016-12-22 11:50:12.323334: Integer Speed =0.
INFO:root:2016-12-22 11:50:12.323577: Decimal Speed =0.
INFO:root:2016-12-22 11:50:12.323808: Actual Speed =0.0.
INFO:root:2016-12-22 11:50:12.324413: Integer Speed =0.
INFO:root:2016-12-22 11:50:12.324650: Decimal Speed =0.
INFO:root:2016-12-22 11:50:12.324880: Actual Speed =0.0.
INFO:root:2016-12-22 11:50:12.325489: Integer Speed =0.
INFO:root:2016-12-22 11:50:12.325729: Decimal Speed =0.
INFO:root:2016-12-22 11:50:12.325959: Actual Speed =0.0.
INFO:root:2016-12-22 11:50:12.326568: Integer Speed =0.
INFO:root:2016-12-22 11:50:12.326797: Decimal Speed =0.
INFO:root:2016-12-22 11:50:12.327013: Actual Speed =0.0.
INFO:root:2016-12-22 11:50:12.327606: Integer Speed =3587.
INFO:root:2016-12-22 11:50:12.327808: Decimal Speed =55040.
INFO:root:2016-12-22 11:50:12.328025: Actual Speed =3642.04.
