Time(s),StartByte(2),PayloadSize(#ofBytes),Command,Payload2,Payload3,Payload4,Payload5,CRCByte1,CRCByte2,EndByte(3)
25.176370,2,5,6,0,0,23,112,41,246,3,
25.269684,2,5,6,0,0,25,200,44,42,3,
25.363183,2,5,6,0,0,28,32,175,249,3,
25.460176,2,5,6,0,0,30,120,18,102,3,
25.574046,2,5,6,0,0,32,208,0,30,3,
25.665745,2,5,6,0,0,35,40,59,90,3,
25.760577,2,5,6,0,0,37,129,181,63,3,
25.875145,2,5,6,0,0,39,217,8,160,3,
25.965383,2,5,6,0,0,42,49,2,218,3,
26.057661,2,5,6,0,0,44,137,142,175,3,
26.172118,2,5,6,0,0,46,225,5,99,3,
26.264797,2,5,6,0,0,49,57,92,91,3,
26.361669,2,5,6,0,0,51,145,14,219,3,
26.474432,2,5,6,0,0,53,233,91,226,3,
26.570005,2,5,6,0,0,56,65,25,92,3,
26.664208,2,5,6,0,0,58,153,53,75,3,
26.775651,2,5,6,0,0,60,241,114,67,3,
26.873236,2,5,6,0,0,63,73,1,195,3,
26.967750,2,5,6,0,0,65,161,86,179,3,
27.061909,2,5,6,0,0,67,249,235,44,3,
27.175992,2,5,6,0,0,0,0,205,133,3,
27.268759,2,5,6,0,0,0,0,205,133,3,
27.361828,2,5,6,0,0,0,0,205,133,3,
27.456605,2,5,6,0,0,0,0,205,133,3,
27.571660,2,5,6,0,0,0,0,205,133,3,
27.664607,2,5,6,0,0,2,89,96,59,3,
27.759329,2,5,6,0,0,4,177,182,187,3,
27.872174,2,5,6,0,0,7,9,197,59,3,
27.967033,2,5,6,0,0,9,97,11,154,3,
28.059966,2,5,6,0,0,11,185,39,141,3,
28.174063,2,5,6,0,0,14,16,252,187,3,
28.267575,2,5,6,0,0,16,104,35,88,3,
28.360984,2,5,6,0,0,18,192,113,216,3,
28.477434,2,5,6,0,0,21,24,162,58,3,
28.571929,2,5,6,0,0,23,112,41,246,3,
28.665453,2,5,6,0,0,25,200,44,42,3,
28.758173,2,5,6,0,0,28,32,175,249,3,
28.870079,2,5,6,0,0,30,120,18,102,3,
28.965231,2,5,6,0,0,32,208,0,30,3,
29.057935,2,5,6,0,0,35,40,59,90,3,
29.158096,2,5,6,0,0,37,129,181,63,3,
29.272021,2,5,6,0,0,39,217,8,160,3,
29.365352,2,5,6,0,0,42,49,2,218,3,
29.458703,2,5,6,0,0,44,137,142,175,3,
29.574671,2,5,6,0,0,46,225,5,99,3,
29.669061,2,5,6,0,0,49,57,92,91,3,
29.765050,2,5,6,0,0,51,145,14,219,3,
29.860745,2,5,6,0,0,53,233,91,226,3,
29.973920,2,5,6,0,0,0,0,205,133,3,
30.071386,2,5,6,0,0,2,89,96,59,3,
30.162960,2,5,6,0,0,0,0,205,133,3,
30.259916,2,5,6,0,0,0,0,205,133,3,
30.373977,2,5,6,0,0,0,0,205,133,3,
30.466458,2,5,6,0,0,0,0,205,133,3,
30.561480,2,5,6,0,0,2,89,96,59,3,
30.674012,2,5,6,0,0,4,177,182,187,3,
30.768685,2,5,6,0,0,7,9,197,59,3,
30.864126,2,5,6,0,0,9,97,11,154,3,
30.957887,2,5,6,0,0,11,185,39,141,3,
31.070841,2,5,6,0,0,14,16,252,187,3,
31.164008,2,5,6,0,0,16,104,35,88,3,
31.278295,2,5,6,0,0,18,192,113,216,3,
31.369451,2,5,6,0,0,21,24,162,58,3,
31.464443,2,5,6,0,0,23,112,41,246,3,
31.558103,2,5,6,0,0,25,200,44,42,3,
31.672006,2,5,6,0,0,28,32,175,249,3,
31.766407,2,5,6,0,0,30,120,18,102,3,
31.863129,2,5,6,0,0,32,208,0,30,3,
31.974939,2,5,6,0,0,35,40,59,90,3,
32.069272,2,5,6,0,0,37,129,181,63,3,
32.164917,2,5,6,0,0,39,217,8,160,3,
32.258592,2,5,6,0,0,42,49,2,218,3,
32.374745,2,5,6,0,0,44,137,142,175,3,
32.468112,2,5,6,0,0,46,225,5,99,3,
32.563907,2,5,6,0,0,49,57,92,91,3,
32.659572,2,5,6,0,0,51,145,14,219,3,
32.772705,2,5,6,0,0,53,233,91,226,3,
32.865521,2,5,6,0,0,56,65,25,92,3,
32.960377,2,5,6,0,0,58,153,53,75,3,
33.072134,2,5,6,0,0,0,0,205,133,3,
33.172867,2,5,6,0,0,0,0,205,133,3,
33.266832,2,5,6,0,0,0,0,205,133,3,
33.361512,2,5,6,0,0,0,0,205,133,3,
33.469258,2,5,6,0,0,0,0,205,133,3,
33.564749,2,5,6,0,0,0,0,205,133,3,
33.660461,2,5,6,0,0,0,0,205,133,3,
33.769736,2,5,6,0,0,0,0,205,133,3,
33.863398,2,5,6,0,0,0,0,205,133,3,
33.956275,2,5,6,0,0,0,0,205,133,3,
34.070943,2,5,6,0,0,0,0,205,133,3,
34.165698,2,5,6,0,0,0,0,205,133,3,
34.257013,2,5,6,0,0,0,0,205,133,3,
34.371452,2,5,6,0,0,0,0,205,133,3,
34.468004,2,5,6,0,0,0,0,205,133,3,
34.561525,2,5,6,0,0,0,0,205,133,3,
34.675314,2,5,6,0,0,0,0,205,133,3,
34.769819,2,5,6,0,0,0,0,205,133,3,
34.866553,2,5,6,0,0,0,0,205,133,3,
